Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,Raw
1679334426.661273,5067,1679334426,65175056,imu1_frame,0,0,0,,0.006812912433511622,0.014335799258904875,-0.6591080816901914,0.7518807124367917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.002845,0.000833,-0.000816,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.276,0.122,-9.705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0126,0.3777,0.638,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.484,+001.750,-000.496,+00.0126,+00.3777,+00.6380,+00.276,+00.122,-09.705,-00.002845,+00.000833,-00.000816*6B"
1679334426.7050674,5068,1679334426,67565822,imu1_frame,0,0,0,,0.006793286077526842,0.01434109794316736,-0.6590685784284996,0.7519154161887428,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001198,0.001293,-0.000614,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.251,0.048,-9.719,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.046,0.3666,0.6505,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.478,+001.749,-000.498,+00.0460,+00.3666,+00.6505,+00.251,+00.048,-09.719,-00.001198,+00.001293,-00.000614*61"
1679334426.707115,5069,1679334426,70170807,imu1_frame,0,0,0,,0.006805975572983902,0.014341729246373587,-0.6590882721431977,0.7518980270103238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001107,-0.001345,-0.000239,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.284,0.03,-9.707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0282,0.3727,0.6512,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.481,+001.750,-000.497,+00.0282,+00.3727,+00.6512,+00.284,+00.030,-09.707,+00.001107,-00.001345,-00.000239*67"
1679334426.7491894,5070,1679334426,72557282,imu1_frame,0,0,0,,0.006805850417526864,0.014341788639168773,-0.6590817105699963,0.7519037786118986,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001269,0.000295,0.00081,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.299,0.119,-9.642,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0283,0.3761,0.6448,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.480,+001.750,-000.497,+00.0283,+00.3761,+00.6448,+00.299,+00.119,-09.642,-00.001269,+00.000295,+00.000810*6C"
1679334426.7926176,5071,1679334426,75163459,imu1_frame,0,0,0,,0.006793786672142952,0.014340860804012145,-0.6590948248263847,0.7518924098972743,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000222,0.002523,-0.000154,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.247,0.064,-9.696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0293,0.3716,0.6436,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.482,+001.749,-000.498,+00.0293,+00.3716,+00.6436,+00.247,+00.064,-09.696,+00.000222,+00.002523,-00.000154*6F"
1679334426.7927306,5072,1679334426,77547240,imu1_frame,0,0,0,,0.006806225882343062,0.014341610457506664,-0.6591013951390229,0.7518865236353935,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00048,-0.00193,0.000262,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.314,0.002,-9.731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0439,0.3666,0.6492,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.483,+001.750,-000.497,+00.0439,+00.3666,+00.6492,+00.314,+00.002,-09.731,-00.000480,-00.001930,+00.000262*6F"
1679334426.8367622,5073,1679334426,80159425,imu1_frame,0,0,0,,0.006799597577091362,0.014335465161825298,-0.6590555800540379,0.7519268596818574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001214,0.000489,-0.000546,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.258,0.106,-9.712,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0187,0.3695,0.6484,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.476,+001.749,-000.497,+00.0187,+00.3695,+00.6484,+00.258,+00.106,-09.712,-00.001214,+00.000489,-00.000546*6E"
1679334426.8368585,5074,1679334426,82636451,imu1_frame,0,0,0,,0.006799972876361452,0.014335287143864336,-0.6590752652273344,0.7519096053894396,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001051,0.002367,0.000774,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.233,0.076,-9.742,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0251,0.3717,0.6422,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.479,+001.749,-000.497,+00.0251,+00.3717,+00.6422,+00.233,+00.076,-09.742,+00.001051,+00.002367,+00.000774*65"
1679334426.8807495,5075,1679334426,85147213,imu1_frame,0,0,0,,0.006818473387601174,0.014330523509447607,-0.6590557139904748,0.7519266655553006,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001198,-0.001722,4.8e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.292,0.002,-9.675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.043,0.3712,0.6491,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.476,+001.750,-000.495,+00.0430,+00.3712,+00.6491,+00.292,+00.002,-09.675,+00.001198,-00.001722,+00.000048*6D"
1679334426.8808143,5076,1679334426,87645387,imu1_frame,0,0,0,,0.0067992222731609025,0.014335643169960888,-0.6590358944290319,0.7519441134589125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00076,-0.000955,-0.00045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.258,0.103,-9.678,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0262,0.3751,0.646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.473,+001.749,-000.497,+00.0262,+00.3751,+00.6460,+00.258,+00.103,-09.678,-00.000760,-00.000955,-00.000450*63"
