Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
80742.0,0,80742,0,GPS1_Frame,42.334880000000005,-71.09494333333333,13.6,1.3,327410.7815824363,4689084.096253966,0.0,19,T
80743.0,0,80743,0,GPS1_Frame,42.334878333333336,-71.09494500000001,13.7,1.3,327410.639711181,4689083.914566056,0.0,19,T
80744.0,0,80744,0,GPS1_Frame,42.334878333333336,-71.09494666666666,13.7,1.3,327410.5023991992,4689083.917948782,0.0,19,T
80745.0,0,80745,0,GPS1_Frame,42.33487333333334,-71.09495,13.8,1.3,327410.2140973768,4689083.369502345,0.0,19,T
80746.0,0,80746,0,GPS1_Frame,42.33486333333334,-71.09496166666666,13.8,1.3,327409.22555755905,4689082.282757748,0.0,19,T
80747.0,0,80747,0,GPS1_Frame,42.33485,-71.094975,13.6,1.3,327408.09058672655,4689080.829254788,0.0,19,T
80748.0,0,80748,0,GPS1_Frame,42.33484,-71.094985,13.4,1.3,327407.2393583049,4689079.7391276825,0.0,19,T
80749.0,0,80749,0,GPS1_Frame,42.334831666666666,-71.094995,13.2,1.3,327406.3926890061,4689078.834071304,0.0,19,T
80750.0,0,80750,0,GPS1_Frame,42.33482333333333,-71.09500666666666,13.0,1.3,327405.40870738844,4689077.932397848,0.0,19,T
80751.0,0,80751,0,GPS1_Frame,42.33481666666667,-71.09502166666667,12.8,1.3,327404.1546607152,4689077.222560847,0.0,19,T
80752.0,0,80752,0,GPS1_Frame,42.334811666666674,-71.09504333333332,12.6,1.3,327402.3559247348,4689076.711326207,0.0,19,T
80753.0,0,80753,0,GPS1_Frame,42.334813333333344,-71.095075,12.4,1.3,327399.75155383616,4689076.960672108,0.0,19,T
80754.0,0,80754,0,GPS1_Frame,42.334825,-71.09512166666667,12.2,1.3,327395.9387319012,4689078.35088976,0.0,19,T
80755.0,0,80755,0,GPS1_Frame,42.33484833333333,-71.09518333333334,12.0,1.3,327390.92202124564,4689081.067051857,0.0,19,T
80756.0,0,80756,0,GPS1_Frame,42.334880000000005,-71.09526000000001,11.9,1.3,327384.6923061699,4689084.739019848,0.0,19,T
80757.0,0,80757,0,GPS1_Frame,42.33491833333333,-71.09535,11.9,1.3,327377.38234279794,4689089.178343097,0.0,19,T
80758.0,0,80758,0,GPS1_Frame,42.33495833333333,-71.09544666666667,11.9,1.3,327369.5277015922,4689093.81627904,0.0,19,T
80759.0,0,80759,0,GPS1_Frame,42.33500000000001,-71.09554499999999,11.9,1.3,327361.5403194024,4689098.64267846,0.0,19,T
80760.0,0,80760,0,GPS1_Frame,42.33503833333332,-71.095645,11.8,1.3,327353.40651470143,4689103.102329908,0.0,19,T
80761.0,0,80761,0,GPS1_Frame,42.33507666666666,-71.09574500000001,11.7,1.3,327345.27272005414,4689107.56199113,0.0,19,T
80762.0,0,80762,0,GPS1_Frame,42.335113333333325,-71.09584166666667,11.6,1.3,327337.40899715456,4689111.829823119,0.0,19,T
80763.0,0,80763,0,GPS1_Frame,42.335150000000006,-71.095935,11.6,1.3,327329.8199063464,4689116.090895579,0.0,19,T
80764.0,0,80764,0,GPS1_Frame,42.335185,-71.09602666666666,11.5,1.3,327322.3635741732,4689120.163521424,0.0,19,T
80765.0,0,80765,0,GPS1_Frame,42.33521833333332,-71.09611666666666,11.4,1.3,327315.0399998004,4689124.047700198,0.0,19,T
80766.0,0,80766,0,GPS1_Frame,42.335249999999995,-71.09620166666667,11.4,1.3,327308.12380478025,4689127.73666194,0.0,19,T
80767.0,0,80767,0,GPS1_Frame,42.33528,-71.09628833333333,11.4,1.3,327301.06574346725,4689131.243944981,0.0,19,T
80768.0,0,80768,0,GPS1_Frame,42.33531,-71.09637500000001,11.5,1.3,327294.00768895744,4689134.751235357,0.0,19,T
80769.0,0,80769,0,GPS1_Frame,42.33533666666667,-71.09646333333333,11.6,1.3,327286.80320502224,4689137.891776924,0.0,19,T
80770.0,0,80770,0,GPS1_Frame,42.335365,-71.09655666666666,11.6,1.3,327279.1913572532,4689141.227552761,0.0,19,T
80771.0,0,80771,0,GPS1_Frame,42.33539333333333,-71.09665833333334,11.7,1.2,327270.89296202245,4689144.580264561,0.0,19,T
80772.0,0,80772,0,GPS1_Frame,42.33542166666666,-71.09676666666665,11.8,1.2,327262.0453310588,4689147.94652912,0.0,19,T
80773.0,0,80773,0,GPS1_Frame,42.335451666666664,-71.09688,11.9,1.2,327252.79033938324,4689151.50803335,0.0,19,T
80774.0,0,80774,0,GPS1_Frame,42.335480000000004,-71.09699666666667,11.8,1.2,327243.25617141166,4689154.891251516,0.0,19,T
80775.0,0,80775,0,GPS1_Frame,42.33550833333334,-71.097115,11.7,1.2,327233.5847014296,4689158.277869178,0.0,19,T
80776.0,0,80776,0,GPS1_Frame,42.33553666666667,-71.09723333333334,11.7,1.2,327223.91324018757,4689161.66450048,0.0,19,T
80777.0,0,80777,0,GPS1_Frame,42.335566666666665,-71.09735500000001,11.6,1.2,327213.97173125175,4689165.242989349,0.0,19,T
80778.0,0,80778,0,GPS1_Frame,42.33559666666667,-71.09748166666667,11.5,1.2,327203.6183005209,4689168.8316531265,0.0,19,T
80779.0,0,80779,0,GPS1_Frame,42.33562833333334,-71.09761166666667,11.4,1.2,327192.99482409144,4689172.612177296,0.0,19,T
80780.0,0,80780,0,GPS1_Frame,42.335660000000004,-71.097745,11.4,1.2,327182.0967377872,4689176.39949244,0.0,19,T
80781.0,0,80781,0,GPS1_Frame,42.33569166666666,-71.09787833333333,11.4,1.2,327171.1986624881,4689180.186824898,0.0,19,T
80782.0,0,80782,0,GPS1_Frame,42.335723333333334,-71.09801333333333,11.6,1.2,327160.16328802356,4689183.977562365,0.0,19,T
80783.0,0,80783,0,GPS1_Frame,42.33575333333333,-71.09814833333333,11.8,1.8,327149.12335836724,4689187.583246889,0.0,19,T
80784.0,0,80784,0,GPS1_Frame,42.33575459259256,-71.09817770370367,12.0,1.8,327146.70710141776,4689187.782799465,0.0,19,T
80785.0,0,80785,0,GPS1_Frame,42.33575585185182,-71.09820707407404,12.1,1.8,327144.29084446846,4689187.982352038,0.0,19,T
80786.0,0,80786,0,GPS1_Frame,42.33575711111108,-71.09823644444441,12.3,1.8,327141.8745875192,4689188.181904612,0.0,19,T
80787.0,0,80787,0,GPS1_Frame,42.33575837037034,-71.09826581481478,12.4,1.8,327139.45833056996,4689188.381457185,0.0,19,T
80788.0,0,80788,0,GPS1_Frame,42.3357596296296,-71.09829518518515,12.6,1.8,327137.04207362066,4689188.58100976,0.0,19,T
80789.0,0,80789,0,GPS1_Frame,42.33576088888886,-71.09832455555552,12.8,1.8,327134.6258166714,4689188.780562333,0.0,19,T
80790.0,0,80790,0,GPS1_Frame,42.33576214814812,-71.09835392592589,12.9,1.8,327132.20955972216,4689188.980114907,0.0,19,T
80791.0,0,80791,0,GPS1_Frame,42.335763407407384,-71.09838329629626,13.1,1.8,327129.79330277286,4689189.17966748,0.0,19,T
80792.0,0,80792,0,GPS1_Frame,42.33576466666664,-71.09841266666663,13.2,1.8,327127.3770458236,4689189.3792200545,0.0,19,T
80793.0,0,80793,0,GPS1_Frame,42.3357659259259,-71.098442037037,13.4,1.8,327124.96078887436,4689189.578772628,0.0,19,T
80794.0,0,80794,0,GPS1_Frame,42.33576718518516,-71.09847140740737,13.6,1.8,327122.54453192506,4689189.778325202,0.0,19,T
80795.0,0,80795,0,GPS1_Frame,42.33576844444442,-71.09850077777776,13.7,1.8,327120.1282749758,4689189.977877775,0.0,19,T
80796.0,0,80796,0,GPS1_Frame,42.33576970370368,-71.09853014814813,13.9,1.8,327117.71201802656,4689190.177430349,0.0,19,T
80797.0,0,80797,0,GPS1_Frame,42.33577096296294,-71.0985595185185,14.0,1.8,327115.29576107726,4689190.376982923,0.0,19,T
80798.0,0,80798,0,GPS1_Frame,42.335772222222204,-71.09858888888887,14.2,1.8,327112.879504128,4689190.576535497,0.0,19,T
80799.0,0,80799,0,GPS1_Frame,42.33577348148146,-71.09861825925924,14.4,1.8,327110.46324717876,4689190.776088071,0.0,19,T
80800.0,0,80800,0,GPS1_Frame,42.335774740740725,-71.09864762962961,14.5,1.8,327108.04699022946,4689190.975640644,0.0,19,T
80801.0,0,80801,0,GPS1_Frame,42.33577599999998,-71.09867699999998,14.7,1.8,327105.6307332802,4689191.1751932185,0.0,19,T
80802.0,0,80802,0,GPS1_Frame,42.33577725925924,-71.09870637037035,14.8,1.8,327103.21447633096,4689191.374745792,0.0,19,T
80803.0,0,80803,0,GPS1_Frame,42.3357785185185,-71.09873574074072,15.0,1.8,327100.79821938166,4689191.574298366,0.0,19,T
80804.0,0,80804,0,GPS1_Frame,42.33577977777776,-71.09876511111109,15.2,1.8,327098.3819624324,4689191.773850939,0.0,19,T
80805.0,0,80805,0,GPS1_Frame,42.33578103703702,-71.09879448148146,15.3,1.8,327095.96570548316,4689191.973403513,0.0,19,T
80806.0,0,80806,0,GPS1_Frame,42.33578229629628,-71.09882385185183,15.5,1.8,327093.54944853386,4689192.172956087,0.0,19,T
80807.0,0,80807,0,GPS1_Frame,42.335783555555544,-71.0988532222222,15.6,1.8,327091.1331915846,4689192.372508661,0.0,19,T
80808.0,0,80808,0,GPS1_Frame,42.3357848148148,-71.09888259259257,15.8,1.8,327088.71693463536,4689192.572061234,0.0,19,T
80809.0,0,80809,0,GPS1_Frame,42.335786074074065,-71.09891196296294,16.0,1.8,327086.30067768606,4689192.771613808,0.0,19,T
80810.0,0,80810,0,GPS1_Frame,42.33578733333332,-71.09894133333331,16.1,1.8,327083.8844207368,4689192.971166382,0.0,19,T
80811.0,0,80811,0,GPS1_Frame,42.33578859259258,-71.09897070370369,16.3,1.8,327081.46816378756,4689193.170718956,0.0,19,T
80812.0,0,80812,0,GPS1_Frame,42.33578985185184,-71.09900007407406,16.4,1.8,327079.05190683826,4689193.370271529,0.0,19,T
80813.0,0,80813,0,GPS1_Frame,42.3357911111111,-71.09902944444443,16.6,1.8,327076.635649889,4689193.569824103,0.0,19,T
80814.0,0,80814,0,GPS1_Frame,42.33579237037036,-71.0990588148148,16.8,1.8,327074.21939293976,4689193.769376677,0.0,19,T
80815.0,0,80815,0,GPS1_Frame,42.33579362962962,-71.09908818518517,16.9,1.8,327071.80313599046,4689193.968929251,0.0,19,T
80816.0,0,80816,0,GPS1_Frame,42.335794888888884,-71.09911755555554,17.1,1.8,327069.3868790412,4689194.168481825,0.0,19,T
80817.0,0,80817,0,GPS1_Frame,42.33579614814814,-71.09914692592592,17.2,1.8,327066.97062209196,4689194.368034398,0.0,19,T
80818.0,0,80818,0,GPS1_Frame,42.335797407407405,-71.09917629629629,17.4,1.8,327064.55436514266,4689194.567586972,0.0,19,T
80819.0,0,80819,0,GPS1_Frame,42.33579866666666,-71.09920566666666,17.6,1.8,327062.1381081934,4689194.767139546,0.0,19,T
80820.0,0,80820,0,GPS1_Frame,42.33579992592592,-71.09923503703703,17.7,1.8,327059.72185124416,4689194.96669212,0.0,19,T
80821.0,0,80821,0,GPS1_Frame,42.33580118518518,-71.0992644074074,17.9,1.8,327057.30559429486,4689195.166244693,0.0,19,T
80822.0,0,80822,0,GPS1_Frame,42.33580244444444,-71.09929377777777,18.0,1.8,327054.8893373456,4689195.365797267,0.0,19,T
80823.0,0,80823,0,GPS1_Frame,42.335803703703704,-71.09932314814814,18.2,1.8,327052.47308039636,4689195.565349841,0.0,19,T
80824.0,0,80824,0,GPS1_Frame,42.33580496296296,-71.09935251851851,18.4,1.8,327050.05682344706,4689195.764902415,0.0,19,T
80825.0,0,80825,0,GPS1_Frame,42.335806222222224,-71.09938188888889,18.5,1.8,327047.6405664978,4689195.964454988,0.0,19,T
80826.0,0,80826,0,GPS1_Frame,42.33580748148148,-71.09941125925926,18.7,1.8,327045.22430954856,4689196.164007562,0.0,19,T
80827.0,0,80827,0,GPS1_Frame,42.335808740740745,-71.09944062962963,18.8,1.8,327042.80805259926,4689196.3635601355,0.0,19,T
80828.0,0,80828,0,GPS1_Frame,42.33581000000001,-71.09947000000001,19.0,1.2,327040.39179565,4689196.563112714,0.0,19,T
80829.0,0,80829,0,GPS1_Frame,42.33578000000001,-71.09948833333333,19.0,1.2,327038.79913919023,4689193.2691306565,0.0,19,T
80830.0,0,80830,0,GPS1_Frame,42.33576166666667,-71.0995,19.2,1.2,327037.78770674986,4689191.257083479,0.0,19,T
80831.0,0,80831,0,GPS1_Frame,42.335755,-71.09950666666667,19.4,1.2,327037.22018920595,4689190.530361057,0.0,19,T
80832.0,0,80832,0,GPS1_Frame,42.33575333333333,-71.09951166666666,19.6,1.2,327036.80368957605,4689190.355460686,0.0,19,T
80833.0,0,80833,0,GPS1_Frame,42.33575333333333,-71.09951500000001,20.3,1.2,327036.52906934515,4689190.362240924,0.0,19,T
80834.0,0,80834,0,GPS1_Frame,42.33575333333333,-71.09951500000001,20.2,1.2,327036.52906934515,4689190.362240924,0.0,19,T
80835.0,0,80835,0,GPS1_Frame,42.335750000000004,-71.09951166666666,20.6,1.2,327036.79455097474,4689189.985319271,0.0,19,T
80836.0,0,80836,0,GPS1_Frame,42.335743333333326,-71.09952,21.1,1.2,327036.08972309175,4689189.261987051,0.0,19,T
80837.0,0,80837,0,GPS1_Frame,42.33572833333333,-71.09950833333333,21.0,1.2,327037.0097704161,4689187.572619841,0.0,19,T
80838.0,0,80838,0,GPS1_Frame,42.33572000000001,-71.09949833333333,20.9,1.2,327037.81078508066,4689186.62692569,0.0,19,T
80839.0,0,80839,0,GPS1_Frame,42.335715,-71.09949166666667,20.7,1.2,327038.3463180659,4689186.058153214,0.0,19,T
80840.0,0,80840,0,GPS1_Frame,42.33571,-71.09948833333333,20.6,1.2,327038.6072307222,4689185.49616093,0.0,19,T
80841.0,0,80841,0,GPS1_Frame,42.33570666666666,-71.099485,20.5,1.2,327038.87271266186,4689185.119239365,0.0,19,T
80842.0,0,80842,0,GPS1_Frame,42.33570666666666,-71.09948666666666,20.5,1.2,327038.73540244496,4689185.122629439,0.0,19,T
80843.0,0,80843,0,GPS1_Frame,42.33570666666666,-71.09948666666666,20.5,1.2,327038.73540244496,4689185.122629439,0.0,19,T
80844.0,0,80844,0,GPS1_Frame,42.33570666666666,-71.09948666666666,20.6,1.2,327038.73540244496,4689185.122629439,0.0,19,T
80845.0,0,80845,0,GPS1_Frame,42.335699999999996,-71.09949,20.5,1.2,327038.4425050186,4689184.38912677,0.0,19,T
80846.0,0,80846,0,GPS1_Frame,42.33568,-71.09950666666667,20.4,1.2,327037.0145713021,4689182.202179234,0.0,19,T
80847.0,0,80847,0,GPS1_Frame,42.33564166666667,-71.09953666666667,20.4,1.2,327034.43789138657,4689178.0065753665,0.0,19,T
80848.0,0,80848,0,GPS1_Frame,42.335588333333334,-71.09958,20.4,1.2,327030.72160008247,4689172.172457755,0.0,19,T
80849.0,0,80849,0,GPS1_Frame,42.335521666666665,-71.09962999999999,21.0,1.2,327026.4195042078,4689164.871337552,0.0,19,T
80850.0,0,80850,0,GPS1_Frame,42.33545000000001,-71.09968833333333,21.4,1.2,327021.41713703226,4689157.031959659,0.0,19,T
80851.0,0,80851,0,GPS1_Frame,42.33537666666666,-71.09975333333334,22.3,1.2,327015.860945655,4689149.021076382,0.0,19,T
80852.0,0,80852,0,GPS1_Frame,42.335306666666675,-71.099815,23.4,1.2,327010.5885041208,4689141.373557423,0.0,19,T
80853.0,0,80853,0,GPS1_Frame,42.33523666666667,-71.09987,24.1,1.2,327005.865296514,4689133.712479395,0.0,19,T
80854.0,0,80854,0,GPS1_Frame,42.33516833333333,-71.09991833333333,24.6,1.2,327001.69589480513,4689126.222911938,0.0,19,T
80855.0,0,80855,0,GPS1_Frame,42.335103333333336,-71.09996,25.0,1.2,326998.0848712993,4689119.089924815,0.0,19,T
80856.0,0,80856,0,GPS1_Frame,42.33504333333334,-71.10000166666667,25.1,1.2,326994.48755184654,4689112.512151491,0.0,19,T
80857.0,0,80857,0,GPS1_Frame,42.33498833333333,-71.10003333333334,25.1,1.2,326991.72780792415,4689106.469246203,0.0,19,T
80858.0,0,80858,0,GPS1_Frame,42.334936666666664,-71.100065,25.1,1.2,326988.9772004741,4689100.796483298,0.0,19,T
80859.0,0,80859,0,GPS1_Frame,42.33488166666666,-71.10010000000001,25.0,1.2,326985.94282384746,4689094.760362115,0.0,19,T
80860.0,0,80860,0,GPS1_Frame,42.33482333333333,-71.10013833333333,25.0,1.2,326982.62467689964,4689088.360883002,0.0,19,T
80861.0,0,80861,0,GPS1_Frame,42.33475833333333,-71.10018,24.9,1.2,326979.01361705543,4689081.227904955,0.0,19,T
80862.0,0,80862,0,GPS1_Frame,42.33469,-71.100225,24.8,1.2,326975.1187839644,4689073.731569763,0.0,19,T
80863.0,0,80863,0,GPS1_Frame,42.33462333333333,-71.10027166666667,24.7,1.2,326971.0912013415,4689066.423698588,0.0,19,T
80864.0,0,80864,0,GPS1_Frame,42.334561666666666,-71.10031666666667,24.5,1.2,326967.2146363864,4689059.667650204,0.0,19,T
80865.0,0,80865,0,GPS1_Frame,42.33450333333334,-71.10036333333333,24.2,1.2,326963.2098936087,4689053.285136653,0.0,19,T
80866.0,0,80866,0,GPS1_Frame,42.33444666666666,-71.10041,23.8,1.2,326959.2097150242,4689047.087695914,0.0,19,T
80867.0,0,80867,0,GPS1_Frame,42.334383333333335,-71.10045,23.7,1.2,326955.7404971593,4689040.136408095,0.0,19,T
80868.0,0,80868,0,GPS1_Frame,42.33432,-71.10048833333333,23.5,1.2,326952.40858611814,4689033.181730183,0.0,19,T
80869.0,0,80869,0,GPS1_Frame,42.33425666666667,-71.10052666666667,23.4,1.2,326949.0766689372,4689026.227053728,0.0,19,T
80870.0,0,80870,0,GPS1_Frame,42.33419333333333,-71.100565,23.3,1.2,326945.7447456147,4689019.272378732,0.0,19,T
80871.0,0,80871,0,GPS1_Frame,42.334134999999996,-71.10060166666668,23.2,1.2,326942.56384440453,4689012.869525362,0.0,19,T
80872.0,0,80872,0,GPS1_Frame,42.334085,-71.10063333333332,23.1,1.2,326939.81773709296,4689007.3818509495,0.0,19,T
80873.0,0,80873,0,GPS1_Frame,42.33404833333334,-71.10066,23.2,1.2,326937.52014058037,4689003.364567043,0.0,19,T
80874.0,0,80874,0,GPS1_Frame,42.33402666666666,-71.10068,23.3,1.2,326935.81294249056,4689000.999351925,0.0,19,T
80875.0,0,80875,0,GPS1_Frame,42.33401333333333,-71.100695,23.7,1.2,326934.54054371524,4688999.54931452,0.0,19,T
80876.0,0,80876,0,GPS1_Frame,42.33400666666667,-71.10070666666667,24.2,1.2,326933.5610593104,4688998.832775963,0.0,19,T
80877.0,0,80877,0,GPS1_Frame,42.334005,-71.10071500000001,24.6,1.2,326932.8699178935,4688998.664665465,0.0,19,T
80878.0,0,80878,0,GPS1_Frame,42.33400333333334,-71.10072333333332,25.1,1.2,326932.1787764444,4688998.496555035,0.0,19,T
80879.0,0,80879,0,GPS1_Frame,42.33399833333333,-71.10072833333334,25.3,1.2,326931.75311924436,4688997.951519195,0.0,19,T
80880.0,0,80880,0,GPS1_Frame,42.33399666666666,-71.10073166666666,25.6,1.2,326931.47391954495,4688997.773232654,0.0,19,T
80881.0,0,80881,0,GPS1_Frame,42.33399666666666,-71.10073166666666,25.5,1.2,326931.47391954495,4688997.773232654,0.0,19,T
80882.0,0,80882,0,GPS1_Frame,42.333995,-71.10073166666666,25.5,1.2,326931.46934774145,4688997.588161982,0.0,19,T
80883.0,0,80883,0,GPS1_Frame,42.333995,-71.10073000000001,25.6,1.2,326931.6066616955,4688997.584769915,0.0,19,T
80884.0,0,80884,0,GPS1_Frame,42.333995,-71.10073000000001,25.6,1.2,326931.6066616955,4688997.584769915,0.0,19,T
80885.0,0,80885,0,GPS1_Frame,42.33399333333333,-71.10072833333334,25.6,1.2,326931.7394038555,4688997.396307178,0.0,19,T
80886.0,0,80886,0,GPS1_Frame,42.33399333333333,-71.10072833333334,25.6,1.2,326931.7394038555,4688997.396307178,0.0,19,T
80887.0,0,80887,0,GPS1_Frame,42.33399166666666,-71.10072666666666,25.6,1.2,326931.8721460208,4688997.207844444,0.0,19,T
80888.0,0,80888,0,GPS1_Frame,42.33399166666666,-71.10072666666666,25.6,1.2,326931.8721460208,4688997.207844444,0.0,19,T
80889.0,0,80889,0,GPS1_Frame,42.33399166666666,-71.100725,25.6,1.2,326932.0094599821,4688997.204452383,0.0,19,T
80890.0,0,80890,0,GPS1_Frame,42.33399166666666,-71.100725,25.6,1.2,326932.0094599821,4688997.204452383,0.0,19,T
80891.0,0,80891,0,GPS1_Frame,42.33398999999999,-71.10072333333332,25.6,1.2,326932.14220216055,4688997.015989655,0.0,19,T
80892.0,0,80892,0,GPS1_Frame,42.333980000000004,-71.10070666666667,25.8,1.8,326933.48791132844,4688995.871645208,0.0,19,T
80893.0,0,80893,0,GPS1_Frame,42.333980000000004,-71.10070666666667,25.7,1.8,326933.48791132844,4688995.871645208,0.0,19,T
