Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,IMU_backup
1698962795.2375686,0,1698962795,225144386,GPS1_Frame,0,0,0,,0.10790964249501664,0.0884183926039348,0.5354915388073852,0.8329384783833875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001099,-0.001468,-0.000603,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.333,-2.744,-9.479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.96e-06,-2.81e-06,1.743e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.728,+001.818,+015.938,+00.0496,-00.0281,+00.1743,+00.333,-02.744,-09.479,+00.001099,-00.001468,-00.000603*6B
"
1698962795.237729,0,1698962795,200181245,GPS1_Frame,0,0,0,,0.1078984400484736,0.08842002590238382,0.5354839511436729,0.8329446342477322,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000716,0.002811,0.000217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.322,-2.718,-9.51,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.7300000000000003e-06,1.718e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.727,+001.819,+015.937,+00.0494,-00.0373,+00.1718,+00.322,-02.718,-09.510,+00.000716,+00.002811,+00.000217*6C
"
1698962795.281217,0,1698962795,249946355,GPS1_Frame,0,0,0,,0.10791529269695327,0.08842654666150267,0.5354606012678063,0.8329567695490393,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000191,-0.001291,-0.001453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.328,-2.722,-9.535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.7300000000000003e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.724,+001.819,+015.939,+00.0494,-00.0373,+00.1744,+00.328,-02.722,-09.535,+00.000191,-00.001291,-00.001453*63
"
1698962795.325011,0,1698962795,275556325,GPS1_Frame,0,0,0,,0.10792880991512259,0.08842208766287352,0.535446382341614,0.8329646319267838,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000117,-0.000732,-0.00059,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.305,-2.734,-9.485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.93e-06,-3.96e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.818,+015.940,+00.0493,-00.0396,+00.1744,+00.305,-02.734,-09.485,-00.000117,-00.000732,-00.000590*6E
"
1698962795.325556,0,1698962795,302573204,GPS1_Frame,0,0,0,,0.10793744819197389,0.08840853327194909,0.5354558325064617,0.8329588765103111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000646,4.8e-05,0.000407,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.333,-2.716,-9.501,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.61e-06,1.7690000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.723,+001.816,+015.940,+00.0494,-00.0361,+00.1769,+00.333,-02.716,-09.501,+00.000646,+00.000048,+00.000407*69
"
1698962795.3708496,0,1698962795,325645923,GPS1_Frame,0,0,0,,0.10793095071550884,0.08840291866308342,0.5354493350299965,0.8329644911191768,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000563,0.001136,0.000438,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.322,-2.717,-9.519,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.84e-06,-3.5000000000000004e-06,1.781e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.816,+015.939,+00.0484,-00.0350,+00.1781,+00.322,-02.717,-09.519,-00.000563,+00.001136,+00.000438*6C
"
1698962795.370867,0,1698962795,349619388,GPS1_Frame,0,0,0,,0.10793513362499589,0.08841135903743737,0.5354776391353547,0.8329448580239479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000108,0.001527,0.000509,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.345,-2.715,-9.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.83e-06,-3.84e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.726,+001.816,+015.940,+00.0483,-00.0384,+00.1744,+00.345,-02.715,-09.500,+00.000108,+00.001527,+00.000509*62
"
1698962795.4125147,0,1698962795,374996662,GPS1_Frame,0,0,0,,0.10793197166410506,0.08841672328487069,0.5354620108498775,0.8329547451529832,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000303,0.002013,-0.000194,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.328,-2.706,-9.483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.84e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.724,+001.817,+015.940,+00.0494,-00.0384,+00.1744,+00.328,-02.706,-09.483,-00.000303,+00.002013,-00.000194*6C
"
1698962795.4126973,0,1698962795,401463508,GPS1_Frame,0,0,0,,0.10793351481060115,0.08841483950313042,0.5354474729654997,0.832964090601225,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000253,-0.000222,0.000485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.34,-2.709,-9.502,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.84e-06,-3.61e-06,1.756e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.817,+015.940,+00.0484,-00.0361,+00.1756,+00.340,-02.709,-09.502,+00.000253,-00.000222,+00.000485*6F
"
1698962795.4604046,0,1698962795,425739288,GPS1_Frame,0,0,0,,0.10792880991512259,0.08842208766287352,0.535446382341614,0.8329646319267838,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.002217,-0.000649,-0.00034,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.295,-2.725,-9.519,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.83e-06,-3.61e-06,1.794e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.818,+015.940,+00.0483,-00.0361,+00.1794,+00.295,-02.725,-09.519,-00.002217,-00.000649,-00.000340*61
"
